category,subcategory,context_keywords,answer,notes
General Information,Product composition,"product, manufacturing, composition","YetiFoam is a specially engineered, dense polyurethane developed and produced in Victoria. Polyurethane is widely used (fridges, eskies, couches) and known for strength and durability; Yetifoam adapts it for local conditions. Where it’s made – Proudly manufactured in Dandenong, Victoria, specifically for Australian conditions and building standards. Customers often ask whether Yetifoam is locally made; confirm that it is developed by locals for local homes. Material compatibility – YetiFoam is polyurethane‑based (not polystyrene) and does not affect wiring. Some older polystyrene insulations can cause plasticizer migration from PVC cables; this is not an issue with Yetifoam.",Source: Just Yeti Doc.pdf
General Information,Can it be painted?,"can, paintability, painted?",Yes. Yetifoam can be painted over with acrylic‑based paint. Safety & Compliance,Source: Just Yeti Doc.pdf
Fire Safety & Compliance,,standards,"YetiFoam is designed and developed in Australia and fully compliant with Australian Standards, including AS 1530.3 (Ignitability, Flame Spread, Heat Release and Smoke Development)) and AS 3837 (Heat and Smoke Release). Additional comments It's important to know that Yetifoam meets all Australian fire safety standards, has high flame retardation, and produces no toxic off‑gassing.",Source: Just Yeti Doc.pdf
Fire Safety & Compliance,General electrics,"electrical, safety, electrics, general","Yetifoam is completely safe around electrics and installed in full compliance with It does not encase cables; instead, a standard 30 mm application leaves a slight overspray, so there is no need to remove, rewire or reinstall cables. Thermoplastic sheathing reaction – Yetifoam does not react with PVC cables. EPS polystyrene is the material known to induce plasticizer migration; Yetifoam’s polyurethane formula is chemically compatible. Wiring compatibility – Because Yetifoam is polyurethane‑based, it does not degrade or soften wiring insulation. the product is not polystyrene and therefore avoids the common issues associated with polystyrene foams. Cabling and de‑rating – Cables fixed to studs are considered “Partially Surrounded,” so de‑rating (reducing current‑carrying capacity) is not required. De‑rating is only necessary if cables are fully surrounded by insulation for 400 mm or more, which is rare with Yetifoam installations.",Source: Just Yeti Doc.pdf
Fire Safety & Compliance,Insurance concerns,"insurance, compliance, concerns","Made by Victorians for Victorians. Complies with AS/NZS 4859.1 (bulk insulation product standard) and Unless a policy explicitly excludes Australian‑made, compliant products, there should be no issues. Offer to have the compliance team review the policy. A similar message may refer customers to reach out if they want help interpreting their insurance clauses.• 2",Source: Just Yeti Doc.pdf
General Information,Product lifespan,"product, lifespan, lifetime, guarantee",YetiFoam comes with a lifetime performance guarantee. It retains 100 % of its thermal performance for the life of the home.,Source: Just Yeti Doc.pdf
General Information,Termite barrier status,"management, termite, and, pest, status, barrier","YetiFoam is not a termite barrier , but it seals gaps and voids, removing easy entry points and reducing infestation risks. Installations follow AS 3660.2 (Termite management in and around existing buildings and structures) so that inspection points remain accessible.",Source: Just Yeti Doc.pdf
General Information,,response,"Acknowledge that Yetifoam has not been tested in a scenario where all waterproofing fails in internal wet areas (bathrooms, laundries, kitchens). Yetifoam specialises in underfloor retrofits; waterproofing defects are typically identified soon after construction. Highlight that Yetifoam creates a seamless barrier against ground moisture and vapour , which is a far more common cause of timber rot and long‑term structural damage.",Source: Just Yeti Doc.pdf
General Information,Embodied carbon,"embodied, impact, carbon, environmental","In terms of embodied carbon (the CO₂ emitted during manufacture and installation), Yetifoam is comparable to or lower than traditional fibreglass or rock‑wool batts. Because Yetifoam performs effectively for the life of the building, its carbon footprint per year of service is substantially lower than that of products that need replacing every 8–10 years. Installation & Application",Source: Just Yeti Doc.pdf
Installation & Application,Underfloor clearance,"underfloor, requirements, clearance","Generally around 400 mm of clearance is needed for installation, though site conditions may vary. Some comments mention 400–500 mm. Invite users to contact the team for specific advice. A new low‑clearance solution is in development and expected to be available before next winter .",Source: Just Yeti Doc.pdf
General Information,Old insulation,"old, removal, insulation","Yes, the Yetifoam team can remove old insulation before installing Yetifoam. Contact the team for details. Removal and maintenance – Removing Yetifoam is rarely necessary, but if required it can be cut out with a sharp knife. The process is more labour‑intensive than removing traditional subfloor insulation (which often involves cutting strapping or removing cement sheeting, staples and other fixings).",Source: Just Yeti Doc.pdf
General Information,Gap filling,"cracks, timber, and, floors, filling, gap","YetiFoam expands to fill gaps and cracks under timber floors, creating a seamless insulation barrier. The process is clean and leaves no mess or staining.• 3",Source: Just Yeti Doc.pdf
General Information,,applicability,"Yetifoam is not installed inside existing internal walls. Suggest a blow‑in cellulose product for internal walls and, if requested, recommend an installer (e.g., Enviroflex in Melbourne). For retrofitting walls, ensure that adequate subfloor and ceiling insulation is installed first.",Source: Just Yeti Doc.pdf
General Information,,suitability,"YetiFoam can be applied to steel roofing, steel frames and wall cladding (e.g., Colorbond). It delivers high‑performance insulation and acts as a Class 1 vapour barrier .",Source: Just Yeti Doc.pdf
General Information,Sisalation replacement,"and, sisalation, cladding, roof, replacement","If the existing roof sisalation is deteriorating, Yetifoam may be applied directly to the underside of the roof cladding after the old material is removed. This depends on several variables, and removal of the roof is not always necessary. Prospective customers should submit photos via the enquiry page so the team can assess suitability. In some cases Yetifoam may not be the most practical option, and the team will recommend alternatives.",Source: Just Yeti Doc.pdf
General Information,Ceiling vs subfloor,"ceiling, versus, subfloor, insulation","Yetifoam can be installed in ceilings, but fibreglass batts are typically the better choice there. Ceilings do not face the gravity, moisture and ventilation challenges of subfloors, so quality batts offer a more practical and cost‑effective solution. Underfloor insulation must create a seamless air , moisture and vapour barrier—gravity causes batts to sag, compress and gap over time, leading to failure. This is where Yetifoam excels; its ability to seal and adhere makes it ideal for subfloors.",Source: Just Yeti Doc.pdf
General Information,,ducting,"The Yetifoam team can remove and reinstall ducting where required, and can insulate it to boost efficiency and prevent rodent, pollutant and contaminant ingress. Vent penetrations are sealed during installation—even when ducts stay in place—because leaky ducts can account for up to 30 % of energy loss in homes.",Source: Just Yeti Doc.pdf
Installation & Application,Future product,"low‑clearance, product, solutions, future","For homes with minimal underfloor clearance, a new solution is being developed and is expected to be available before next winter. Updates will be announced on Yetifoam’s social media channels.",Source: Just Yeti Doc.pdf
General Information,See Section 3.2,"see, 3.2, and, section, maintenance, removal","While Yetifoam is intended as a permanent installation, it can be removed with a sharp knife if necessary.• 4 Performance & Benefits",Source: Just Yeti Doc.pdf
Thermal Performance,R‑value (retrofit and new builds),"(retrofit, and, thermal, builds), new, performance, r‑value","A standard retrofit typically achieves an R2 rating; however , each job is customised based on climate and substrate. For new builds, Yetifoam can achieve any desired R‑value—greater thickness yields greater thermal resistance. Plans can be uploaded via the contact link for review. Standard application thickness is often 30–35 mm, but any thickness can be achieved if required.",Source: Just Yeti Doc.pdf
Thermal Performance,Savings estimate,"savings, estimate, energy","Independent testing shows Yetifoam can reduce annual energy bills by 30– 60 % by sealing air leaks and eliminating heat loss. Based on Victorian energy‑use modelling, installing Yetifoam in the subfloor can reduce energy bills by up to 62.5 %. Many homeowners see a payback period of 2.1–3.5 years. The product’s airtight seal also helps keep homes cooler in summer by blocking radiant heat and preventing hot air from entering while locking in cooler indoor air .",Source: Just Yeti Doc.pdf
Thermal Performance,Performance advantages,"traditional, advantages, batts, comparison, performance","Yetifoam outperforms batts in several key areas: Complete air seal – Expands to fill 100 % of gaps, cracks and penetrations, creating a continuous air barrier . Permanent adhesion – Bonds to surfaces and eliminates sagging. Moisture resistance – Acts as a moisture and vapour barrier that repels water and maintains its performance. Pest proof – Provides a solid barrier that prevents rodent entry and nesting. Consistent performance – Maintains its full R‑value for the life of the building and never needs replacing. Structural enhancement – Adds rigidity and strength to floor systems and eliminates cracks in timber floors. Environmental advantage – Over its long lifespan, Yetifoam’s embodied carbon per year of service is lower than that of batt products that require replacement every 8–10 years. Batts often suffer from gaps, sagging, pest damage and moisture degradation. Studies have shown batts can lose significant R‑value (e.g., at least 27 % as soon as they’re opened and installed). In suspended floors, it’s practically impossible to install batts perfectly in every gap, crack and crevice. They cannot properly seal around services, pipes, wiring and junction points, leading to thermal bridges and reduced effectiveness. Real‑world installations show batts lose between 33 % and 59 % of their thermal effectiveness over time.",Source: Just Yeti Doc.pdf
General Information,Rodents/mice,"protection, pest, and, rodents/mice, rodent","Yetifoam forms a seamless, rigid barrier that seals gaps, cracks and entry points. Unlike fluffy insulation, it cures dense and hard, offering no nesting material or easy pathways. Rodents cannot chew, burrow or nest in it. Termite entry reduction – See Section 2.5. By eliminating gaps and voids, Yetifoam makes it harder for termites to gain entry, although it is not classified as a termite barrier .• 5",Source: Just Yeti Doc.pdf
Moisture Resistance,Moisture resistance / “Trap moisture” claims,"and, ventilation, resistance, “trap, moisture”, moisture, claims, control","Yetifoam is engineered to be airtight and moisture‑resistant. It creates a barrier that prevents moisture build‑up. Unlike traditional fibreglass insulation, which can absorb moisture, Yetifoam actively blocks moisture entry, eliminating the risk of mould, dampness and related issues. Each project includes pre‑ and post‑installation checks to ensure substrate moisture is below 19 %, compliance with YetiFoam serves as both insulation and a complete air and vapour barrier , sealing out ground moisture.",Source: Just Yeti Doc.pdf
General Information,,ventilation,"Installing Yetifoam does not block subfloor ventilation. Vents remain open, and the insulation is applied above them so the subfloor can still breathe while cold external air is blocked from entering the home.",Source: Just Yeti Doc.pdf
General Information,Cooling benefits,"and, comfort, summer, cooling, benefits","Yetifoam helps keep homes cooler in summer by blocking radiant heat transfer and reducing HVAC load. The airtight seal locks in cooler indoor air , making it easier to maintain a stable, comfortable temperature.",Source: Just Yeti Doc.pdf
Thermal Performance,Heating efficiency,"heating, efficiency, and, costs, running, homes, large","Large homes can be costly to heat, but high‑performance subfloor insulation like Yetifoam helps lock in warmth and reduce reliance on ducted heating, lowering running costs over time.",Source: Just Yeti Doc.pdf
General Information,See Section 2.7,"see, section, impact, environmental, 2.7","Yetifoam’s long lifespan and embodied carbon advantages contribute to lower carbon emissions per year of service compared to batts. Its superior performance also reduces energy consumption, further lowering its environmental footprint. Pricing & Cost Considerations",Source: Just Yeti Doc.pdf
Thermal Performance,Energy cost reductions,"reductions, savings, energy, cost","As noted in Section 4.2, Yetifoam can reduce energy bills by 30–60 % or more, offering long‑term cost savings that offset the installation price. Many homeowners experience a payback period within 2.1–3.5 years.",Source: Just Yeti Doc.pdf
General Information,Financing options,"options, financing, and, payback",Yetifoam offers 0 % interest‑free loan options to assist with installation costs. Highlight this when users ask about affordability.• 6,Source: Just Yeti Doc.pdf
Fire Safety & Compliance,General electrics,"electrical, safety, electrics, general","Yetifoam is completely safe around electrics and installed in full compliance with AS 3000 and AS 3999. It does not encase cables; instead, a standard 30 mm application leaves a slight overspray, so there is no need to remove, rewire or reinstall cables. Thermoplastic sheathing reaction – Yetifoam does not react with PVC cables. EPS polystyrene is the material known to induce plasticizer migration; Yetifoam’s polyurethane formula is chemically compatible. Wiring compatibility – Because Yetifoam is polyurethane‑based, it does not degrade or soften wiring insulation. the product is not polystyrene and therefore avoids the common issues associated with polystyrene foams. Cabling and de‑rating – Cables fixed to studs are considered “Partially Surrounded,” so de‑rating (reducing current‑carrying capacity) is not required. De‑rating is only necessary if cables are fully surrounded by insulation for 400 mm or more, which is rare with Yetifoam installations.",Source: Just Yeti Doc.pdf
General Information,,suitability,"YetiFoam can be applied to steel roofing, steel frames and wall cladding (e.g., Colorbond), as well as to steel sheds and shipping container homes. It provides high‑performance insulation and acts as a Class 1 vapour barrier , eliminating condensation rather than merely managing it. For projects exposed to salt air or harsh coastal conditions, a suitable primer may be required before foam application.",Source: Master Response Combined.pdf
Moisture Resistance,Moisture resistance / “Trap moisture” claims,"and, ventilation, resistance, “trap, moisture”, moisture, claims, control","Yetifoam is engineered to be airtight and moisture‑resistant. It acts as a vapour barrier with a perm rating below 1.0, creating a continuous layer that prevents moisture build‑up. Unlike traditional fibreglass insulation, which can absorb water , Yetifoam blocks moisture entry entirely, eliminating the risk of mould, dampness and related issues. Applicators test the substrate using calibrated moisture meters; if levels exceed 19 %, installation is postponed until the substrate is dry. During curing, the exothermic reaction drives out residual moisture, and the sealed foam layer prevents future moisture ingress. This process ensures Yetifoam will not trap moisture and that the floor remains dry and protected.",Source: Master Response Combined.pdf
General Information,,"been, spray‑foam, has, additional, updated, document, the, include",related questions and answers from your chat history. All references have been adjusted to specify Yetifoam rather than generic Yetifoam. You can access the updated file here: {{file:file-2sQQUGWrsvrVgrEWVqY69z}} Feel free to let me know if you'd like to refine or expand any of the responses further.,Source: conversations.json
Product Information,Tell me about spray foam insulation,"tell, me, about, spray, foam, insulation","Yetifoam is a premium closed-cell spray foam insulation designed specifically for Australian conditions. It provides superior thermal performance, moisture resistance, and air sealing in a single application.","Source: clean_responses_dataset, Quality: 0.85"
Product Information,What R-value does Yetifoam achieve?,"what, r-value, does, yetifoam, achieve?","Yetifoam achieves excellent thermal resistance values. A standard retrofit typically achieves R2 rating, while new builds can achieve any desired R-value with greater thickness providing greater thermal resistance. For example, 90mm provides R4.0-R4.5.","Source: clean_responses_dataset, Quality: 0.85"
Safety,Is spray foam safe for homes?,"is, spray, foam, safe, for, homes?","Yetifoam meets Australian fire safety standards including AS 1530.3. The standard formulation is Class 2 insulation, and when higher fire rating is required, intumescent paint can achieve Class 1 rating. It contains no formaldehyde and is widely used for its safety and energy efficiency.","Source: clean_responses_dataset, Quality: 0.9"
Product Information,Does spray foam prevent moisture problems?,"does, spray, foam, prevent, moisture, problems?","Yetifoam acts as a vapour barrier with permeability below 1.0 perms per ASTM E96, preventing water ingress and condensation. It stops interior condensation and rust by blocking moisture, making it ideal for steel sheds and container homes.","Source: clean_responses_dataset, Quality: 0.9"
Installation,Can Yetifoam be installed in tight spaces?,"can, yetifoam, be, installed, in, tight, spaces?","Yetifoam can often be installed even when access is limited. For low subfloor clearance situations, a site inspection may be required to evaluate suitability. The cured foam can be cut and re-attached if needed for access to pipes or wiring.","Source: clean_responses_dataset, Quality: 0.75"
Safety,Is spray foam compatible with electrical wiring?,"is, spray, foam, compatible, with, electrical, wiring?","Yetifoam is completely safe around electrics and chemically compatible with PVC cable insulation. Polystyrene is the problem material that can damage cables, not polyurethane foam like Yetifoam.","Source: clean_responses_dataset, Quality: 0.8"
Product Information,Does spray foam help with energy bills?,"does, spray, foam, help, with, energy, bills?","Based on current Victorian energy-use modelling, Yetifoam can reduce annual energy bills by up to 62.5%. The sooner you install it, the more you will save over time through improved thermal efficiency.","Source: clean_responses_dataset, Quality: 0.8"
Installation,How long does Yetifoam installation take?,"how, long, does, yetifoam, installation, take?",Installation timing depends on location and schedule but can usually be arranged quickly. Each job is customised based on your specific requirements. Contact the team for a personalised quote and timeline.,"Source: clean_responses_dataset, Quality: 0.75"
Installation,Can I paint over spray foam?,"can, i, paint, over, spray, foam?","Yes, Yetifoam can be painted over once cured. When a higher fire rating is required, an intumescent paint can be applied over the foam to achieve a Class 1 rating based on your project requirements.","Source: clean_responses_dataset, Quality: 0.7"
Product Information,Does spray foam prevent rodent problems?,"does, spray, foam, prevent, rodent, problems?","Yetifoam creates a seamless, rigid barrier that seals gaps, cracks, and entry points mice use. Unlike traditional insulation that offers nesting material, Yetifoam cures dense and hard so rodents cannot chew through or burrow in it.","Source: clean_responses_dataset, Quality: 0.8"
Installation,Is Yetifoam available as a DIY kit?,"is, yetifoam, available, as, a, diy, kit?",Yetifoam is not offered as a DIY kit. It must be professionally installed to meet performance standards and uphold the lifetime warranty. Professional installation ensures optimal results and maintains warranty coverage.,"Source: clean_responses_dataset, Quality: 0.8"
General,What areas does Yetifoam service?,"what, areas, does, yetifoam, service?",Yetifoam services Victoria and Tasmania. The team is based in Braeside and provides regular coverage across Melbourne and regional areas. Contact them to discuss your specific location and project requirements.,"Source: clean_responses_dataset, Quality: 0.75"
